Neighborhood,AvgRentPerUnit,ZScore,DistancefromPalm,DistancefromZabeel,DistancefromJumeirah,Latitude,Longitude
DiscoveryGardens,44.672,-1.53,8.18,26.15,20.73,25.039,55.1445
DubaiSiliconOasis,54.417,-1.3,24.96,13.31,16.39,25.1279,55.3863
JumeirahVillageCircle,60.068,-1.17,9.16,20.56,16.13,25.0602,55.2094
DubaiSportsCity,62.753,-1.1,11.36,22.32,18.28,25.0391,55.2176
Remraam,67.284,-.99,16.71,25.27,22.27,25.0014,55.2508
AlFurjan,73.641,-.84,9.7,27.28,22.02,25.0252,55.1459
JumeirahVillageTriangle,82.014,-.64,8.87,22.78,18.04,25.0473,55.19
MotorCity,83.876,-.6,12.61,20.9,17.42,25.045,55.2397
DamacHills,94.63,-.34,16.4,22.41,19.37,25.0275,55.2524
AlSufouh,95.804,-.31,1.7,17.88,12.02,25.1134,55.1762
DIFC,105.183,-.09,17.86,3.02,3.57,25.2106,55.2794
BusinessBay,105.682,-.08,15.61,5.55,3.45,25.1832,55.2729
JumeirahLakesTowers,106.352,-.06,4.8,23.8,18.03,25.0693,55.1417
BarshaHeights,111.804,1.07,4.1,19.08,13.48,25.097,55.1776
EmiratesLiving,114.422,1.13,7.82,23.43,18.36,25.0496,55.174
DubaiMarina,115.236,1.15,3.55,23.02,17.12,25.0805,55.1403
DubaiInvestmentsPark,116.379,1.18,15.3,30.13,25.71,24.979,55.1762
JumeirahBeachResidence,143.52,1.83,3.97,23.75,17.82,25.0769,55.1341
DubaiFestivalCity,151.341,1.02,25.23,5.6,11.81,25.2171,55.3614
Downtown,153.541,1.07,16.77,4.19,3.41,25.195,55.2784
Zabeel,176.211,1.61,20.84,1.0,6.57,25.2231,55.3061
Jumeirah,180.18,1.71,14.59,6.57,1.0,25.2016,55.2453
PalmJumeirah,204.43,2.29,1.0,20.84,14.59,25.1124,55.139